season,name,balls_faced,boundary_count,boundary_percent
2012,SP Narine,8,2,25.0
2012,SPD Smith,272,38,13.97
2012,SR Tendulkar,297,43,14.48
2012,SR Watson,171,40,23.39
2012,SS Tiwary,173,17,9.83
2012,STR Binny,70,12,17.14
2012,Shakib Al Hasan,77,9,11.69
2012,Sunny Gupta,1,0,0.0
2012,TL Suman,19,2,10.53
2012,TM Dilshan,274,38,13.87
2012,UBT Chand,35,5,14.29
2012,UT Yadav,7,0,0.0
2012,V Kohli,333,43,12.91
2012,V Pratap Singh,1,0,0.0
2012,V Sehwag,317,76,23.97
2012,VR Aaron,3,0,0.0
2012,WD Parnell,29,2,6.9
2012,WP Saha,14,0,0.0
2012,Y Nagar,134,16,11.94
2012,Y Venugopal Rao,129,13,10.08
2012,YK Pathan,179,17,9.5
2012,Z Khan,17,1,5.88
2013,A Ashish Reddy,90,13,14.44
2013,A Chandila,6,0,0.0
2013,A Mishra,103,9,8.74
2013,A Mithun,2,0,0.0
2013,A Mukund,22,1,4.55
2013,A Nehra,8,0,0.0
2013,AB Agarkar,16,0,0.0
2013,AB Dinda,11,1,9.09
2013,AB McDonald,2,0,0.0
2013,AB de Villiers,226,51,22.57
2013,AC Gilchrist,234,47,20.09
2013,AD Mascarenhas,5,0,0.0
2013,AD Mathews,141,15,10.64
2013,AD Russell,15,0,0.0
2013,AG Murtaza,4,1,25.0
2013,AJ Finch,344,70,20.35
2013,AL Menaria,2,0,0.0
2013,AM Nayar,74,5,6.76
2013,AM Rahane,472,53,11.23
2013,AP Tare,84,19,22.62
2013,AS Rajpoot,6,0,0.0
2013,AT Rayudu,235,26,11.06
2013,Azhar Mahmood,158,27,17.09
2013,B Chipli,19,2,10.53
2013,B Kumar,72,4,5.56
2013,B Laughlin,9,0,0.0
2013,B Lee,12,3,25.0
2013,BAW Mendis,4,0,0.0
2013,BB McCullum,7,1,14.29
2013,BB Samantray,114,15,13.16
2013,BJ Hodge,224,36,16.07
2013,BJ Rohrer,146,26,17.81
2013,BMAJ Mendis,27,0,0.0
2013,CA Pujara,100,14,14.0
2013,CH Gayle,484,109,22.52
2013,CH Morris,17,0,0.0
2013,CL White,200,27,13.5
2013,CM Gautam,37,5,13.51
2013,DA Miller,257,52,20.23
2013,DA Warner,333,55,16.52
2013,DB Das,76,10,13.16
2013,DB Ravi Teja,18,0,0.0
2013,DH Yagnik,99,19,19.19
2013,DJ Bravo,112,14,12.5
2013,DJ Hussey,210,26,12.38
2013,DJG Sammy,136,21,15.44
2013,DPMD Jayawardene,322,45,13.98
2013,DR Smith,351,59,16.81
2013,DT Christian,16,0,0.0
2013,DW Steyn,37,7,18.92
2013,EJG Morgan,250,41,16.4
2013,G Gambhir,354,56,15.82
2013,GH Vihari,287,18,6.27
2013,GJ Maxwell,27,5,18.52
2013,Gurkeerat Singh,98,13,13.27
2013,Harbhajan Singh,82,17,20.73
2013,Harmeet Singh,4,0,0.0
2013,IC Pandey,2,0,0.0
2013,IK Pathan,159,14,8.81
2013,Iqbal Abdulla,14,0,0.0
2013,J Botha,52,6,11.54
2013,J Syed Mohammad,13,1,7.69
2013,JA Morkel,37,5,13.51
2013,JD Unadkat,2,0,0.0
2013,JH Kallis,327,38,11.62
2013,JP Faulkner,57,7,12.28
2013,K Upadhyay,1,0,0.0
2013,KA Pollard,290,56,19.31
2013,KB Arun Karthik,40,4,10.0
2013,KC Sangakkara,137,13,9.49
2013,KD Karthik,422,68,16.11
2013,KK Cooper,22,6,27.27
2013,KK Nair,12,0,0.0
2013,KL Rahul,16,4,25.0
